## CSV containing only relevant information for analyses 
#
# Author: Annika Oldach
# Contact: aoldach@uni-osnabrueck.de
#
# Date created 24.9.2020
# RStudio: Version 1.3.1073
# Excel: Microsoft Excel for Microsoft 365 MSO (16.0.13127.20266) 32-bit

number,prereg
1,FALSE
2,TRUE
3,FALSE
4,FALSE
5,FALSE
6,FALSE
7,FALSE
8,FALSE
9,FALSE
10,FALSE
11,FALSE
12,FALSE
13,FALSE
14,FALSE
15,FALSE
16,FALSE
17,FALSE
18,FALSE
19,FALSE
20,TRUE
21,FALSE
22,FALSE
23,FALSE
24,FALSE
25,FALSE
26,FALSE
27,FALSE
28,FALSE
29,FALSE
30,FALSE
31,FALSE
